structure	order	scaffold_id	scaffold_key	color
O=C(Nc1ccccc1)c1cc[nH+]cc1	5036	scaffold.25752	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 FCTZHFATVFONMW-UHFFFAOYSA-O	1
O=C(Nc1ccccc1)c1ccc[nH+]c1	5037	scaffold.22590	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 NYQXIOZBHWFCBU-UHFFFAOYSA-O	1
O=C(Nc1ccccc1)c1ccccn1	5038	scaffold.22888	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 0 1 2 0 0 0 0 1 0 1 0 0 0 0 1 1 1 GVBHRBMWXDCRHZ-UHFFFAOYSA-N	1
S=C(Nc1ccccc1)c1ccccn1	5039	scaffold.23206	14 2 3 2 0 6 2 0 2 0 0 0 2 3 0 1 0 2 0 0 0 0 1 0 1 0 0 0 0 1 1 1 HOMILEBHBIPJEZ-UHFFFAOYSA-N	1
O=C(C(=O)c1ccccn1)c1ccccn1	5040	scaffold.34162	14 2 3 2 0 6 2 0 2 0 0 0 2 4 0 0 2 2 0 0 0 0 0 0 0 1 0 0 0 1 2 1 PIINXYKJQGMIOZ-UHFFFAOYSA-N	1
c1ccc(OCc2cccnc2)cc1	5041	scaffold.14832	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 QWAMJXOIACKDRQ-UHFFFAOYSA-N	1
c1ccc(OCc2ccncc2)cc1	5042	scaffold.14834	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 VYBZUXRVMWVTEB-UHFFFAOYSA-N	1
c1ccc(OCc2cccc[nH+]2)cc1	5043	scaffold.15793	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 HEMZNKOBGSXYFU-UHFFFAOYSA-O	1
c1ccc(COc2cccnc2)cc1	5044	scaffold.15272	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 LLWFWIZOFFLRKC-UHFFFAOYSA-N	1
c1ccc(COc2ccccn2)cc1	5045	scaffold.16591	14 2 3 2 0 6 2 0 2 0 0 1 1 2 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 FMBDGKGJYMSJKF-UHFFFAOYSA-N	1
O=C(Oc1ccccc1)c1cccnc1	5046	scaffold.24476	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 QEJPOSAIULNDLU-UHFFFAOYSA-N	1
O=C(Oc1ccccc1)c1ccncc1	5047	scaffold.24491	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 RGQQGHGIUCRECH-UHFFFAOYSA-N	1
O=C(Oc1ccncc1)c1ccccc1	5048	scaffold.25846	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 1 1 1 RLCXXYMFUGQTMG-UHFFFAOYSA-N	1
O=C(Oc1ccccc1)c1ccccn1	5049	scaffold.23662	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 JDCDHJSQZSHBJT-UHFFFAOYSA-N	1
O=C(Oc1cccnc1)c1ccccc1	5050	scaffold.22225	14 2 3 2 0 6 2 0 2 0 0 1 1 3 0 0 2 1 0 0 0 0 1 0 1 0 0 0 0 1 1 1 QIVALJLFVRSZHT-UHFFFAOYSA-N	1
c1ccc(CCc2ccc3ccccc3c2)cc1	14950	scaffold.60745	18 2 3 3 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 0 3 JFYPVGUKRHOUDA-UHFFFAOYSA-N	2
C(=C/c1cccc2ccccc12)\c1ccccc1	14951	scaffold.60821	18 2 3 3 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 QAVDMWIHZMXKFR-BUHFOSPRSA-N	2
C(=C\c1cccc2ccccc12)\c1ccccc1	14952	scaffold.61927	18 2 3 3 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 QAVDMWIHZMXKFR-YPKPFQOOSA-N	2
c1ccc(CCc2cccc3ccccc23)cc1	14953	scaffold.60717	18 2 3 3 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 1 0 1 RLGXDIGUNMDWRX-UHFFFAOYSA-N	2
C(=N/c1ccccc1)\c1ccc2ccccc2c1	14954	scaffold.64681	18 2 3 3 0 6 3 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 2 LOWCAGPWRWKNKE-QGOAFFKASA-N	2
C(=C\c1cnc2ccccc2c1)\c1ccccc1	14955	scaffold.62040	18 2 3 3 0 6 3 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 2 0 2 OHHPAEZEBAYVPW-KHPPLWFESA-N	2
